department_name,school,harvard_equivalent
HEALTH SOCIAL WORK,UT Austin-Dell,
POPULATION HEALTH,UT Austin-Dell,GHSM;HCP
FOUNDATIONS OF MEDICINE,NYU Long Island,
BIOMEDICAL SCIENCE,Kaiser Permanente-Tyson,
ANATOMY PHYSIOLOGY AND GENETICS,Uniformed Services-Hebert,Gn
BIOCHEMISTRY,Uniformed Services-Hebert,BCMP
MICROBIOLOGY AND IMMUNOLOGY,Uniformed Services-Hebert,Mb;Imm
PATHOLOGY,Uniformed Services-Hebert,
PHARMACOLOGY AND MOLECULAR THERAPEUTICS,Uniformed Services-Hebert,BCMP
PREVENTIVE MEDICINE AND BIOSTATISTICS,Uniformed Services-Hebert,GHSM;HCP;SB
ANATOMY AND CELL BIOLOGY,Kansas,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Kansas,BCMP
BIOSTATISTICS AND DATA SCIENCE,Kansas,DBMI
CANCER BIOLOGY,Kansas,
HISTORY AND PHILOSOPHY OF MEDICINE,Kansas,GHSM
MICROBIOLOGY MOLECULAR GENETICS AND IMMUNOLOGY,Kansas,Mb;Gn;Imm
MOLECULAR AND INTEGRATIVE PHYSIOLOGY,Kansas,
PATHOLOGY AND LABORATORY MEDICINE,Kansas,
PHARMACOLOGY TOXICOLOGY AND THERAPEUTICS,Kansas,
POPULATION HEALTH,Kansas,
BIOMEDICAL SCIENCES,North Dakota,
PATHOLOGY,North Dakota,
PHARMACOLOGY PHYSIOLOGY AND THERAPEUTICS,North Dakota,BCMP
BIOMEDICAL SCIENCES,Mercer,
INSTITUTE FOR CANCER RESEARCH,TCU UNTHSC,
