department_name,school,harvard_equivalent
MICROBIOLOGY AND IMMUNOLOGY,Miami-Miller,Mb;Imm
MOLECULAR AND CELLULAR PHARMACOLOGY,Miami-Miller,BCMP;CB
PHYSIOLOGY AND BIOPHYSICS,Miami-Miller,BCMP
PUBLIC HEALTH SCIENCES,Miami-Miller,
MEDICAL INFORMATION SCIENCE,Illinois,DBMI
BIOCHEMISTRY,Illinois,BCMP
CELL AND DEVELOPMENTAL BIOLOGY,Illinois,CB
MICROBIOLOGY,Illinois,Mb
MOLECULAR AND INTEGRATIVE PHYSIOLOGY,Illinois,
PATHOLOGY,Illinois,
PHARMACOLOGY,Illinois,BCMP
BIOMEDICAL SCIENCES,Illinois,DBMI
CANCER BIOLOGY AND PHARMACOLOGY,Illinois,
ANATOMY AND CELL BIOLOGY,Illinois,CB
BIOCHEMISTRY AND MOLECULAR GENETICS,Illinois,Gn
BIOENGINEERING,Illinois,
MICROBIOLOGY AND IMMUNOLOGY,Illinois,Mb;Imm
PHARMACOLOGY AND REGENERATIVE MEDICINE,Illinois,SCRB
BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,Washington U St Louis,BCMP
CELL BIOLOGY AND PHYSIOLOGY,Washington U St Louis,CB
DEVELOPMENTAL BIOLOGY,Washington U St Louis,
GENETICS,Washington U St Louis,Gn
MOLECULAR MICROBIOLOGY,Washington U St Louis,Mb
NEUROSCIENCE,Washington U St Louis,Nb
PATHOLOGY AND IMMUNOLOGY,Washington U St Louis,Imm
BIOSTATISTICS,Washington U St Louis,SB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Tulane,BCMP
MICROBIOLOGY AND IMMUNOLOGY,Tulane,Mb;Imm
PATHOLOGY AND LABORATORY MEDICINE,Tulane,
PHARMACOLOGY,Tulane,BCMP
PHYSIOLOGY,Tulane,
STRUCTURAL AND CELLULAR BIOLOGY,Tulane,CB
BIOCHEMISTRY,Duke,BCMP
BIOSTATISTICS AND BIOINFORMATICS,Duke,SB;DBMI
CELL BIOLOGY,Duke,CB
IMMUNOLOGY,Duke,Imm
MOLECULAR GENETICS AND MICROBIOLOGY,Duke,Mb;Gn
NEUROBIOLOGY,Duke,Nb
PHARMACOLOGY AND CANCER BIOLOGY,Duke,BCMP;CB
POPULATION HEALTH SCIENCES,Duke,GHSM
BIOCHEMISTRY,Wake Forest,BCMP
