school,department_name,harvard_equivalent,nih_2020
UT Houston-McGovern,INTEGRATIVE BIOLOGY AND PHARMACOLOGY,BCMP,8534971
Mississippi,PHYSIOLOGY AND BIOPHYSICS,BCMP,13827389
Connecticut,MOLECULAR BIOLOGY AND BIOPHYSICS,BCMP,5922190
UT Southwestern,BIOCHEMISTRY,BCMP,7304281
UT Southwestern,BIOPHYSICS,BCMP,4228484
UT Southwestern,MOLECULAR BIOLOGY,BCMP,11349368
UT Southwestern,PHARMACOLOGY,BCMP,7799183
New Mexico,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,462065
Hawaii-Burns,ANATOMY BIOCHEM AND PHYSIOLOGY,BCMP,2027021
Texas Tech,CELLULAR PHYSIOLOGY AND MOLEC BIOPHYSICS,BCMP,1089297
Southern Illinois,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1096770
Southern Illinois,PHARMACOLOGY,BCMP,1753558
Caribe,BIOCHEMISTRY,BCMP,445029
Caribe,PHARMACOLOGY,BCMP,NA
South Alabama,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,804735
South Alabama,PHARMACOLOGY,BCMP,3884720
Nevada Reno,PHARMACOLOGY,BCMP,11263823
Puerto Rico,BIOCHEMISTRY,BCMP,4538739
Puerto Rico,PHARMACOLOGY AND TOXICOLOGY,BCMP,45320
Texas Tech-Foster,MOLECULAR AND TRANSITIONAL MEDICINE,BCMP,NA
East Carolina-Brody,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
East Carolina-Brody,PHARMACOLOGY AND TOXICOLOGY,BCMP,754064
UT Rio Grande Valley,MOLECULAR SCIENCE,BCMP,NA
UT Rio Grande Valley,PHARMACOLOGY,BCMP,NA
Uniformed Services-Hebert,BIOCHEMISTRY,BCMP,NA
Uniformed Services-Hebert,PHARMACOLOGY AND MOLECULAR THERAPEUTICS,BCMP,NA
Kansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3768286
North Dakota,PHARMACOLOGY PHYSIOLOGY AND THERAPEUTICS,BCMP,2218823
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,428757
Case Western Reserve,BIOCHEMISTRY,BCMP,4347786
Drexel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4152448
Yale,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP;CB,5922865
Stanford,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,12238743
UC San Fransisco,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP;CB,8128111
Miami-Miller,MOLECULAR AND CELLULAR PHARMACOLOGY,BCMP;CB,4600897
Duke,PHARMACOLOGY AND CANCER BIOLOGY,BCMP,15325326
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,10968070
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,11622453
Renaissance Stony Brook,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,1713005
Texas A & M,MOLECULAR AND CELLULAR MEDICINE,BCMP;CB,4006840
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,2070864
Northwestern-Feinberg,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,4824600
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,10612477
Virginia,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,5893466
Louisville,BIOCHEMISTRY AND MOLECULAR GENETICS,BCMP;Gn,1614273
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,4672883
Loyola Stritch,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP;Nb,360882
Creighton,PHARMACOLOGY,BCMP;Nb,1510950
Meharry,BIOCHEMISTRY AND CANCER BIOLOGY,BCMP;Nb,1623627
Harvard,CELL BIOLOGY,CB,12414616
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,3482892
Johns Hopkins,CELL BIOLOGY,CB,10107909
Northwestern-Feinberg,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
George Washington,ANATOMY AND CELL BIOLOGY,CB,2183609
Georgetown,ONCOLOGY,NA,14584464
